index;nome;url;preco;preco_pix;preco_por_gb;modulos;capacidade;hash;2025-11-19;2025-11-20;2025-11-21;2025-11-22;2025-11-23;2025-11-24;2025-11-25;2025-11-26;2025-11-27;2025-11-28;2025-11-29;2025-11-30;2025-12-01;2025-12-02;2025-12-03;2025-12-04;2025-12-05;2025-12-06;2025-12-07;2025-12-08;2025-12-09;2025-12-10;2025-12-11;2025-12-12;2025-12-13;2025-12-14;2025-12-15;2025-12-16;2025-12-17;2025-12-18;2025-12-19;2025-12-20;2025-12-21;2025-12-22;2025-12-23;2025-12-24;2025-12-25;2025-12-26;2025-12-27;2025-12-28;2025-12-29;2025-12-30;2025-12-31;2026-01-01;2026-01-02;2026-01-03;2026-01-04;2026-01-05;2026-01-06;2026-01-07;2026-01-08;2026-01-09;2026-01-10;2026-01-11;2026-01-12;2026-01-13;2026-01-14;2026-01-15;2026-01-16;2026-01-17;2026-01-18;2026-01-19;2026-01-20;2026-01-21;2026-01-22;2026-01-23;2026-01-24;2026-01-25;2026-01-26;2026-01-27;2026-01-28;2026-01-29;2026-01-30;2026-01-31;2026-02-01;2026-02-02;2026-02-03;2026-02-04;2026-02-05;2026-02-06;2026-02-07;2026-02-08;2026-02-09;2026-02-10;2026-02-11;2026-02-12;2026-02-13;2026-02-14;2026-02-15;2026-02-16;2026-02-17;2026-02-18;2026-02-19;2026-02-20;2026-02-21;2026-02-22;2026-02-23;2026-02-24;2026-02-25;2026-02-26;2026-02-27;2026-02-28;2026-03-01;2026-03-02;2026-03-03;2026-03-04;2026-03-05;2026-03-06;2026-03-07;2026-03-08;2026-03-09;2026-03-10;2026-03-11;2026-03-12;2026-03-13;2026-03-14;2026-03-15;2026-03-16;2026-03-17;2026-03-18;2026-03-19;2026-03-20;2026-03-21;2026-03-22;2026-03-23;2026-03-24;2026-03-25;2026-03-26;2026-03-27;2026-03-28;2026-03-29;2026-03-30;2026-03-31;2026-04-01;2026-04-02;2026-04-03;2026-04-04;2026-04-05;2026-04-06;2026-04-07;2026-04-08;2026-04-09;2026-04-10;2026-04-11;2026-04-12;2026-04-13;2026-04-14;2026-04-15;2026-04-16;2026-04-17;2026-04-18;2026-04-19;2026-04-20;2026-04-21;2026-04-22;2026-04-23;2026-04-24;2026-04-25;2026-04-26;2026-04-27;2026-04-28;2026-04-29;2026-04-30;2026-05-01;2026-05-02;2026-05-03;2026-05-04;2026-05-05;2026-05-06;2026-05-07;2026-05-08;2026-05-09;2026-05-10;2026-05-11;2026-05-12;2026-05-13;2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18
1;Kingston Fury Beast (Preto);https://meupc.net/peca/64gcGS/memoria-kingston-fury-beast-kf432c16bbk216;935.00;935.00;58.44;2x8 GB;16;64gcGS;;;446.65;;;446.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1309.99;1309.99;1309.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1799.90;1759.90;1759.90;1759.90;1759.90;1759.90;1759.90
2;Rise Mode Diamond Series (Branco);https://meupc.net/peca/Yzs6v2/memoria-rise-mode-diamond-series-rm-d4-16g-3200dw;999.90;849.99;53.12;1x16 GB;16;Yzs6v2;;;;332.99;332.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;804.51;804.51;804.51;804.51;804.51;804.51;804.51;989.91;989.91;989.91;989.91;989.91;989.91;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1178.91;1178.91;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;1029.99;909.90;909.90;909.90;909.90;909.90;909.90;909.90;864.99;864.99;864.99;864.99;864.99;864.99;864.99;864.99;864.99;864.99;864.99;783.90;783.90;783.90;783.90;783.90;909.99;909.99;909.99;909.99;909.99;909.99;859.90;859.90;859.90;849.90;849.90;849.90;849.90;849.90;849.90;849.90;849.90;849.90;909.99;849.90;849.90;849.90;849.90;849.90;849.90;849.90;849.90;849.90;849.90;849.90;849.90;849.90;849.90;849.90;849.90;849.90;849.90;849.90;849.99;849.99;849.99
3;Rise Mode Z (Preto);https://meupc.net/peca/bk29mL/memoria-rise-mode-z-rmd416g3200z;1066.61;1066.61;66.66;1x16 GB;16;bk29mL;;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;477.99;419.99;419.99;;;;;;;;;;;;;;;;;;;;804.51;804.51;804.51;804.51;804.51;804.51;804.51;989.91;989.91;989.91;989.91;989.91;989.91;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1178.91;1178.91;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;669.99;669.99;669.99;669.99;669.99;849.99;799.99;799.99;779.99;779.99;779.99;779.99;779.99;609.99;649.99;649.99;779.99;779.99;769.99;699.99;699.99;709.99;709.99;709.99;709.99;699.99;699.99;709.99;769.99;769.99;769.99;769.99;699.99;699.99;769.99;679.99;679.99;769.99;769.99;679.99;679.99;679.99;679.90;679.90;769.99;769.99;769.99;769.99;769.99;769.99;769.99;769.99;769.99;769.99;769.99;769.99;769.99;769.99;769.99;769.99;769.99;599.99;769.99;699.90;599.99;769.99;769.99;599.99;599.99;599.99;599.99;599.99;699.99;699.99;599.99;599.99;699.99;629.90;699.99;699.99;699.99;699.99;599.99;699.99;699.99;699.99;699.99;699.99;679.99;679.99;679.99;679.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;629.90;1175.31;629.90;1175.31
4;Kingston Fury Beast (Preto);https://meupc.net/peca/mng99J/memoria-kingston-fury-beast-kf432c16bb16;923.00;923.00;57.69;1x16 GB;16;mng99J;499.99;499.99;470.00;540.00;540.00;538.00;538.00;499.00;499.00;499.00;559.00;509.99;569.00;569.00;599.99;599.99;699.99;699.99;699.99;599.99;599.99;649.99;649.99;665.00;666.00;666.00;729.99;649.99;662.00;729.99;729.99;849.99;849.99;849.99;849.99;849.99;849.99;849.99;849.99;849.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;899.99;899.99;899.99;649.90;899.99;899.99;899.99;949.99;899.99;1049.99;1049.99;1049.99;1049.99;1049.99;709.90;709.90;1139.99;1139.99;1139.99;1139.99;1139.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;1199.99;949.99;949.99;749.99;749.99;749.99;659.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;799.99;799.99;809.99;809.99;899.99;899.99;899.99;899.99;1049.99;1049.99;1049.99;899.99;899.99;1049.99;1049.99;1069.99;899.99;1069.99;1069.99;1069.99;1069.99;1069.99;1069.99;1069.99;1069.99;1069.99;1069.99;1069.99;1069.99;1069.99;1069.99;1069.99;1069.99;1180.00;1069.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;859.90;859.90;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;959.99;988.00;988.00;988.00
5;Husky Impulse (Preto);https://meupc.net/peca/WwFPxI/memoria-husky-impulse-hrm001163222pt;823.40;699.90;43.74;1x16 GB;16;WwFPxI;;;;;389.90;359.90;359.90;329.90;329.90;329.90;329.90;329.90;329.90;329.90;329.90;329.90;329.90;439.99;439.99;399.99;399.99;399.99;449.99;449.99;449.99;449.99;449.99;449.99;449.99;449.99;449.99;599.99;599.99;599.99;599.99;675.99;675.99;675.99;675.99;675.99;699.99;699.99;699.99;699.99;649.99;649.99;649.99;649.99;649.99;649.99;599.99;599.99;699.99;699.99;699.99;699.99;699.99;677.30;677.30;677.30;699.90;599.00;699.99;699.99;699.99;699.98;789.90;789.90;798.00;799.99;780.61;780.61;780.61;780.61;793.14;759.00;819.00;729.99;729.99;729.99;798.00;799.00;799.00;799.00;799.00;779.00;779.00;779.00;779.00;779.00;779.00;779.00;779.00;779.00;797.00;797.00;799.99;778.40;773.00;500.00;799.00;799.00;799.00;799.00;799.00;749.99;749.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;729.99;729.99;749.99;699.99;699.99;699.99;699.99;699.90;699.99;699.99;649.99;649.99;659.99;659.99;659.99;659.99;659.99;699.99;699.99;699.99;699.99;649.99;629.99;629.99;649.99;864.00;864.00;864.00;799.99;864.00;769.99;769.99;769.99;769.99;769.99;769.99;769.99;729.99;729.99;729.99;729.99;729.99;729.99;729.99;729.99;689.99;689.99;689.99;689.99;689.99;689.99;689.99;689.99;649.99;649.99;649.99;649.99;649.99;649.99;649.99;649.99;699.90;699.90;699.90
6;Kingston Fury Beast (Preto);https://meupc.net/peca/9KTCp4/memoria-kingston-fury-beast-kf432c16bb116;941.10;799.99;50.0;1x16 GB;16;9KTCp4;;;;525.99;;;;;;;;;;;;;;;;;;;;525.99;;;;;;;499.99;699.99;699.99;699.99;799.99;799.99;799.99;759.99;699.99;699.99;699.99;699.99;699.99;699.99;729.99;729.99;729.99;599.99;619.99;619.99;619.99;799.99;799.99;999.99;999.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;799.99;1089.99;799.99;1089.99;1089.99;1089.99;1079.99;939.99;939.99;938.99;939.99;939.99;879.99;879.99;879.99;879.99;879.99;879.99;939.99;939.99;879.99;879.99;879.99;879.99;879.99;879.99;879.99;879.99;879.99;879.99;879.99;879.99;879.99;879.99;879.99;879.99;879.99;879.99;879.99;879.99;929.99;929.99;929.99;929.99;899.99;899.99;899.99;1079.99;899.99;899.99;899.99;899.99;899.99;899.99;899.99;899.99;899.99;899.99;899.99;899.99;899.99;899.99;899.99;849.99;849.99;849.99;849.99;849.99;849.99;849.99;849.99;849.99;849.99;849.99;849.99;849.99;849.99;899.99;899.99;899.99;899.99;879.99;879.99;879.99;899.99;899.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99;799.99
7;XPG Spectrix D35G (RGB);https://meupc.net/peca/bKA44x/memoria-xpg-spectrix-d35g-ax4u320016g16asbkd35g;1128.22;958.99;59.94;1x16 GB;16;bKA44x;659.99;499.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;474.99;809.99;809.99;809.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;909.99;909.99;909.99;909.99;909.99;909.99;909.99;909.99;909.99;909.99;909.99;909.99;816.99;909.99;909.99;909.99;909.99;999.99;1029.99;1029.99;1029.99;1029.99;949.99;949.99;899.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;759.90;829.99;829.99;829.99;828.99;828.99;828.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;828.99;828.99;828.99;824.99;824.99;824.99;824.99;824.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;799.99;799.99;859.99;859.99;859.99;859.99;859.99;989.99;859.99;859.99;989.99;989.99;989.99;984.99;984.99;984.99;984.99;984.99;984.99;984.99;498.51;498.51;869.90;984.99;984.99;984.99;984.99;899.99;899.99;879.00;899.99;899.99;899.99;979.90;979.90;899.90;899.90;979.90;979.90;979.90;979.90;979.90;979.90;899.90;899.90;959.99;959.99;959.99;899.90;899.90;899.90;958.99;958.99;958.99;958.99;949.99;859.90;859.90;949.90;949.90;948.99;948.99;948.99;839.99;839.99;949.90;949.90;949.90;949.90;949.90
8;XPG Spectrix D35G (RGB);https://meupc.net/peca/bv8H7Y/memoria-xpg-spectrix-d35g-ax4u320016g16aswhd35g;1047.00;889.99;55.62;1x16 GB;16;bv8H7Y;659.99;657.81;657.81;657.81;657.81;657.81;657.81;657.81;657.81;657.81;657.81;657.81;657.81;657.81;657.81;657.81;459.99;649.99;649.99;649.99;649.99;649.99;649.99;571.99;809.99;809.99;809.99;949.99;949.99;949.99;571.99;699.99;699.99;699.99;759.99;759.99;759.99;759.99;709.99;709.99;709.99;709.99;709.99;709.99;709.99;709.99;709.99;549.99;549.99;759.99;819.99;819.99;819.99;819.99;819.99;819.99;812.00;812.00;812.00;812.00;812.00;821.00;821.00;821.00;880.00;939.99;820.00;820.00;929.00;799.90;989.00;957.00;799.90;799.90;899.99;799.99;799.99;899.99;799.99;899.99;899.99;899.99;899.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;898.99;894.99;894.99;894.99;894.99;894.99;894.99;894.99;898.99;898.99;898.99;898.99;898.99;898.99;819.90;819.90;898.99;898.99;898.99;898.99;898.99;898.99;883.50;883.50;883.50;883.50;883.50;883.50;898.99;889.99;889.99;889.99;889.99;889.99;889.99;886.99;889.99;889.99;889.99;889.99;889.99;889.99;889.99;888.99;887.99;799.99;799.99;887.99;887.99;887.99;959.99;927.99;927.99;927.99;989.99;899.90;899.90;899.90;899.90;899.90;899.90;899.90;899.90;899.90;899.99;899.99;899.99;899.99;899.99;899.99;899.99;898.99;889.99;889.99;889.99;889.99;889.99
9;Rise Mode Z Series (Preto);https://meupc.net/peca/o9z2pJ/memoria-rise-mode-z-series-rmd416g3200zw;1066.62;1066.62;66.66;1x16 GB;16;o9z2pJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;804.51;804.51;804.51;804.51;804.51;804.51;804.51;989.91;989.91;989.91;989.91;989.91;989.91;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1178.91;1178.91;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;779.99;779.99;779.99;779.99;779.99;709.99;709.99;689.99;689.99;689.99;689.99;779.99;699.99;699.99;719.99;719.99;719.99;719.99;719.99;719.99;779.99;779.99;779.99;779.99;779.99;779.99;779.99;779.99;779.99;779.99;779.99;739.99;739.99;739.99;679.90;679.90;739.99;739.99;739.99;739.99;739.99;739.99;739.99;739.99;739.99;739.99;739.99;739.99;739.99;739.99;799.99;739.99;739.99;739.99;739.99;699.90;739.99;739.99;739.99;729.99;729.99;729.99;729.99;729.99;729.99;729.99;729.99;729.99;729.99;689.90;689.90;689.90;689.90;689.90;689.90;689.90;729.99;729.99;729.99;729.99;729.99;729.99;729.99;729.99;729.99;729.99;729.99;729.99;729.99;729.99;729.99;699.90;699.90;729.99;1175.31
11;Indilinx Magic I (Preto);https://meupc.net/peca/X2rqkK/memoria-indilinx-magic-i-ind-md4p32sp16x;823.52;699.99;43.75;1x16 GB;16;X2rqkK;;339.99;339.99;339.99;339.99;339.99;339.99;399.99;379.99;379.99;379.99;379.99;379.99;399.90;399.90;399.99;399.99;399.99;399.99;399.99;429.90;429.90;429.90;429.90;429.90;429.90;399.99;399.99;519.90;499.00;499.00;499.00;499.00;499.00;499.00;499.00;519.90;519.90;519.90;519.90;519.90;519.90;519.90;519.90;519.90;519.90;519.90;519.90;599.90;599.90;;;;;949.90;949.90;949.90;949.90;949.90;749.90;749.90;;;;;;;;;949.90;949.90;949.90;949.90;949.90;949.90;949.90;;;749.90;749.90;;;;;;;;;;;;;;;;;;;;799.99;784.99;784.99;784.99;784.99;699.99;699.99;729.99;729.99;729.99;779.99;779.99;779.99;779.99;779.99;779.99;779.99;779.99;779.99;779.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;749.99;736.99;736.99;736.99;736.99;726.99;599.99;599.99;699.99;699.99;599.99;599.99;699.99;699.99;599.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;649.99;649.99;649.99;649.99;649.99;709.99;709.99;699.99;699.99;699.99;699.99
12;Kingston Fury Beast RGB (RGB);https://meupc.net/peca/Hfa2F6/memoria-kingston-fury-beast-rgb-kf432c16bb2ak216;1976.46;1679.99;105.0;2x8 GB;16;Hfa2F6;659.99;659.99;659.99;659.99;659.99;659.99;659.99;659.99;659.99;659.99;659.99;659.99;659.99;709.99;709.99;709.99;709.99;709.99;709.99;709.99;709.99;709.99;709.99;709.99;;;;;709.99;;;;;;799.99;;;;;;;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1599.99;1599.99;1599.99;1599.99;1599.99;1599.99;1579.00;1579.00;1579.00;1099.99;1099.99;1099.99;1099.99;1579.00;1579.00;1579.00;1579.00;1579.00;1579.00;1579.00;1249.99;1249.99;1149.99;1049.99;1049.99;1049.99;1049.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1039.90;1039.90;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1049.90;1049.90;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1399.99;1399.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1299.99;1099.90;1099.90;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99
14;XPG GAMMIX D35 (Preto);https://meupc.net/peca/Wxi42I/memoria-xpg-gammix-d35-ax4u320016g16asbkd35;1235.20;1049.99;65.62;1x16 GB;16;Wxi42I;688.41;449.99;305.75;680.31;680.31;680.31;680.31;680.31;680.31;;;;;;;;;;;;;802.30;709.99;709.99;709.99;709.99;709.99;709.99;709.99;599.99;599.99;599.99;599.99;599.99;679.99;716.99;716.99;716.99;664.99;664.99;664.99;664.99;664.99;664.99;664.99;664.99;664.99;579.99;579.99;716.99;799.99;799.99;799.99;799.99;799.99;829.99;829.99;799.99;659.99;799.99;999.99;874.90;659.99;659.99;874.90;874.90;874.90;874.90;984.90;829.99;829.99;854.99;829.99;829.99;829.99;829.99;799.99;854.99;854.99;854.99;854.99;854.99;854.99;778.99;778.99;778.99;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;784.99;784.99;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;699.90;699.90;787.90;787.90;829.99;829.99;829.99;829.99;829.99;829.99;999.99;999.99;999.99;999.99;999.99;999.90;999.99;999.99;999.99;1099.99;999.99;999.99;999.99;999.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;899.99;899.99;849.99;849.99;849.99;849.99;849.90;849.90;839.90;839.90;984.90;984.90;984.90;984.90;1089.99;1089.99;1089.99;899.99;899.99;899.99;899.99;999.99;999.99;999.99;889.90;889.90;889.90;848.99;848.99;848.99;848.99;848.99;1049.99;1049.99;1049.99
